personID,"albums_album","albums_artist","albums_id"
3,"Dear Evan Hansen (Original Broadway Cast Recording)","Various Artists","0LhDyJXelg31FKLW5GDcKi"
3,"evermore","Taylor Swift","2Xoteh7uEpea4TohMxjtaq"
3,"1973","Jacks Haupt","3apsMyUGCoFOZ1sH7v0PHO"
3,"Cooks","Still Woozy","6P5uQurlsYMrmOgGRd3xpz"
3,"Melodrama","Lorde","2B87zXm9bOWvAJdkJBTpzF"
3,"IGOR","Tyler, The Creator","5zi7WsKlIiUXv09tbGLKsE"
3,"The Story of Us","Quinn XCII","7j7cqgeWmYH9PbKe3S5oJj"
3,"The 1975","The 1975","33ZqJmmqFE8Z7Ak1Lxbnfb"
3,"Sling","Clairo","32ium7Cxb1Xwp2MLzH2459"
3,"ARIZONA BABY","Kevin Abstract","6wi40lIjhukePWyXRKY7qO"
3,"Songs About Jane","Maroon 5","1Rv9WRKyYhFaGbuYDaQunN"
3,"flounder","quinnie","3AmWQhIXHawKYgthdEJSLJ"
3,"You - EP","dodie","6xeFX3yRvaEV7ny5WKZ4cA"
3,"Riot!","Paramore","71rziY9eLo1tA2dBMxrwhc"
3,"AM","Arctic Monkeys","5bU1XKYxHhEwukllT20xtk"
3,"CALL ME IF YOU GET LOST","Tyler, The Creator","45ba6QAtNrdv6Ke4MFOKk9"
3,"Blonde","Frank Ocean","3mH6qwIy9crq0I9YQbOuDf"
3,"Smile","Nohidea","3o5CXZt4E5R4KJ6xt7xIui"
3,"Gymnopédies","Erik Satie","1CRUe1xvr13ThgjnpCmIOL"
3,"the rest","boygenius","1n0esOkFQdL74PwMwTVgtz"
3,"The Human Condition","Jon Bellion","2jJReDZqTuAxr4R0ItimZc"
3,"Floats My Boat","Aer","5XHNFt2jWhd2U82Z4EIRNo"
3,"dont smile at me","Billie Eilish","07WV4Vf6503k6K1yGNWG8X"
3,"Don't Be Dumb","A$AP Rocky","0atfWEzoZMgo9zCwFd5nEN"
3,"Delta","Mumford & Sons","1PYJpLC45Fem1a30mwArtS"
3,"dead","blackbear","5cEJ9XTxsUKterwl1nAm2I"
3,"Waitress (Original Broadway Cast Recording)","Various Artists","1E1tdqqLmyi03P0TJhGuw8"
3,"~how i'm feeling~","Lauv","6EgJXcGqaUvgZIF9bqPXfP"
3,"Spotify Singles","Harry Styles","7neiWgd56IO7vi2cRUP8Tj"
3,"Trip Tape","Milky Chance","707cK3j40hIquI15sOcYXP"
3,"My Grandmother's Hands","Resmaa Menakem","2U4eNTaBwe2x4InXFH4DhH"
3,"This Is Why","Paramore","6tG8sCK4htJOLjlWwb7gZB"
3,"GINGER","BROCKHAMPTON","1jToVugwBEzcak8gJNZG2f"
3,"I met you when I was 18.","Lauv","7lqieLm717j9Z8JrG7POkS"
3,"BEAUTIFUL CHAOS","KATSEYE","4llrXTk6u4QYI1j7KHIsCx"
3,"Pilgrim's Paradise","Daniel Caesar","4uP43hIpmEEDuW7aOfiU2C"
3,"Sunburn","Dominic Fike","2T7LuxZRr6SQMgABLtoYTH"
3,"19","Adele","6Pb3K1oPXdhsqFXtzKe3Z1"
3,"SOS","SZA","07w0rG5TETcyihsEIZR3qG"
3,"WOW!","BETWEEN FRIENDS","6jG86C6kFmXlWJcTlHtHYR"
3,"minor","Gracie Abrams","2UZw04wDxLVceADw2Gi1Qy"
3,"What Could Possibly Go Wrong","Dominic Fike","1BubKJqf6Uc4fNae5kLJJ7"
3,"Eat Your Young","Hozier","1GOa0Bsm7eeVIJglLcoLWX"
3,"reputation","Taylor Swift","6DEjYFkNZh67HP7R9PSZvv"
4,"Her Loss","Drake","41NvzpIHKpaYHKnh1bF3TN"
4,"SOS","SZA","1nrVofqDRs7cpWXJ49qTnP"
4,"Bite","24kGoldn","7tMqwp42zyOZaSpQgnp03t"
4,"4Respect","YoungBoy Never Broke Again","5qHIeth0mZhLj9TJnVC3RB"
4,"Culture III","Migos","3uyOwJu4r3yroAkFywNFM3"
