personID,endTime_UTC,audiobookName,chapterName,authorName,msPlayed
8,2025-07-09 21:42:00,Ready Player Two,Chapter 9,Ernest Cline,1949426
8,2025-07-09 21:57:00,Ready Player Two,Chapter 10,Ernest Cline,930020
8,2025-07-11 15:50:00,Ready Player Two,Chapter 10,Ernest Cline,1117232
8,2025-07-11 16:15:00,Ready Player Two,Chapter 11,Ernest Cline,1463920
8,2025-07-11 16:26:00,Ready Player Two,Chapter 12,Ernest Cline,642028
8,2025-07-14 21:41:00,Ready Player Two,Chapter 12,Ernest Cline,693413
8,2025-07-14 22:03:00,Ready Player Two,Chapter 13,Ernest Cline,1263338
8,2025-07-15 01:33:00,Ready Player Two,Chapter 14,Ernest Cline,4408
8,2025-07-15 01:34:00,Ready Player Two,Chapter 13,Ernest Cline,18241
8,2025-07-17 13:15:00,Ready Player Two,Chapter 13,Ernest Cline,136293
8,2025-07-17 13:38:00,Ready Player Two,Chapter 14,Ernest Cline,1382400
8,2025-07-17 13:57:00,Ready Player Two,Chapter 15,Ernest Cline,1060246
8,2025-07-18 20:34:00,Ready Player Two,Chapter 15,Ernest Cline,231350
8,2025-07-18 20:51:00,Ready Player Two,Chapter 16,Ernest Cline,1001140
8,2025-07-18 21:11:00,Ready Player Two,Chapter 17,Ernest Cline,1218760
8,2025-07-18 22:32:00,Ready Player Two,Chapter 18,Ernest Cline,9060
8,2025-07-18 22:32:00,Ready Player Two,Chapter 18,Ernest Cline,4343
8,2025-07-20 14:08:00,Ready Player Two,Chapter 18,Ernest Cline,1873213
8,2025-07-20 14:23:00,Ready Player Two,Chapter 19,Ernest Cline,890066
8,2025-07-21 21:36:00,Ready Player Two,Chapter 19,Ernest Cline,316920
8,2025-07-21 22:00:00,Ready Player Two,Chapter 20,Ernest Cline,1421666
8,2025-07-21 22:17:00,Ready Player Two,Chapter 21,Ernest Cline,939583
8,2025-07-22 23:40:00,Ready Player Two,Chapter 21,Ernest Cline,1169536
8,2025-07-23 00:06:00,Ready Player Two,Chapter 22,Ernest Cline,1511586
8,2025-07-23 00:10:00,Ready Player Two,Chapter 23,Ernest Cline,209128
8,2025-07-24 13:43:00,Ready Player Two,Chapter 23,Ernest Cline,1515960
8,2025-07-24 14:25:00,Ready Player Two,Chapter 24,Ernest Cline,1966430
8,2025-07-25 15:33:00,Ready Player Two,Chapter 24,Ernest Cline,250946
8,2025-07-25 16:00:00,Ready Player Two,Chapter 25,Ernest Cline,1629720
8,2025-07-25 16:11:00,Ready Player Two,Chapter 26,Ernest Cline,679960
8,2025-07-25 16:20:00,Ready Player Two,Chapter 27,Ernest Cline,410692
8,2025-07-26 13:55:00,Ready Player Two,Chapter 27,Ernest Cline,1529790
8,2025-07-26 14:09:00,Ready Player Two,Chapter 28,Ernest Cline,784906
