personID,artistName,segment
1,Brittney Spencer,Light listeners
1,Cynthia Erivo,Moderate listeners
1,SZA,Previously Active Listeners
1,Write Out Loud,Light listeners
1,Dove Cameron,Previously Active Listeners
1,Ahmad Simmons,Light listeners
1,Allison Janney and Men's Ensemble,Previously Active Listeners
1,Bon Iver,Previously Active Listeners
1,Lan Ge,Previously Active Listeners
1,Nils-Aslak Valkeapää,Moderate listeners
1,Rosemary Ashe,Previously Active Listeners
1,Nicki Minaj,Previously Active Listeners
1,Hans Zimmer,Previously Active Listeners
1,Glenn Close,Previously Active Listeners
1,Bette Midler,Previously Active Listeners
1,Gael Garcia Bernal,Previously Active Listeners
1,Kanye West,Previously Active Listeners
1,Wicked Movie Cast,Moderate listeners
1,Monica,Previously Active Listeners
1,Eleanor Glockner,Previously Active Listeners
1,Zach Bryan,Previously Active Listeners
1,André De Shields,Moderate listeners
1,Joshua Henry,Previously Active Listeners
1,ABBA,Previously Active Listeners
1,"Stephanie J. Block, Marc Kudisch and Ensemble",Previously Active Listeners
1,Malcolm Armwood,Light listeners
1,Tay Keith,Previously Active Listeners
1,Chappell Roan,Moderate listeners
1,Amber Gray,Light listeners
1,Clive Rowe,Previously Active Listeners
1,Charles Hart,Previously Active Listeners
1,Andrew Keenan-Bolger,Light listeners
1,Original Television Cast of Hairspray LIVE!,Light listeners
1,David Tomlinson,Previously Active Listeners
1,Norbert Leo Butz,Light listeners
1,Dominic Cooper,Previously Active Listeners
1,BENEE,Previously Active Listeners
1,j-hope,Light listeners
1,JT,Light listeners
1,Janos Kurucz,Previously Active Listeners
1,Kimiko Glenn,Moderate listeners
1,Lana Del Rey,Previously Active Listeners
1,Halsey,Previously Active Listeners
1,Original Cast of Hadestown,Light listeners
1,Various Artists,Super Listeners
1,MARINA,Light listeners
1,beabadoobee,Light listeners
1,WILLOW,Previously Active Listeners
1,Dolly Parton,Previously Active Listeners
1,Vaneese Thomas,Previously Active Listeners
1,Will Roland,Light listeners
1,SIENNA SPIRO,Moderate listeners
1,Colin Firth,Previously Active Listeners
1,Billie Eilish,Light listeners
1,Morissette,Previously Active Listeners
1,Mura Masa,Previously Active Listeners
1,William Ryall,Previously Active Listeners
1,Ted Elliot,Previously Active Listeners
1,Asher Friedman,Previously Active Listeners
1,Arlissa,Previously Active Listeners
1,John Riddle,Previously Active Listeners
