artist.id,artist.name,artist.genre
0cU6m2LPge3eCdbtX7HMSv,Lian Fort,lo-fi
6Y2z8W80khQmSrWU8ncdXu,Melodies Zone,lo-fi
2vuftBbgAVsAsKIFnuDloA,Astra,jazz rap
2vuftBbgAVsAsKIFnuDloA,Astra,lo-fi
2vuftBbgAVsAsKIFnuDloA,Astra,lo-fi beats
3eRsN8sKiHgPK5LqK72wrN,Vihta,lo-fi
7IOCjf2dqm6jzhCAUAX4uR,YorBeatz,lo-fi
69GdZJOkHYqqoplptCzuf1,The Christmas Collective,christmas
6nioPI2w2u0mYS1DIoz52c,Pop Culture,jazz beats
5KloCT8DPcEyXjwItppFQr,The Retune Project,lo-fi
5ZoIRvBZeyIcKBWJyjnUqq,Shawn & Brick,lounge
2AVTw3mWijFuUkq8rBWkkL,ChillTide,lounge
77eYPd2PnhvGKJHFFMmbR7,Tony Thriller,lo-fi
3dHotvHEwOdiVKy5X6Gw9B,[ocean jams],lo-fi beats
3dHotvHEwOdiVKy5X6Gw9B,[ocean jams],lo-fi
3dHotvHEwOdiVKy5X6Gw9B,[ocean jams],lo-fi hip hop
4HqfVodpcXVcWTSIjNzKY7,DeTuned Café,lo-fi
3PplCjTWQ2AbTboXJNCpSa,Lenny B,jazz beats
3PplCjTWQ2AbTboXJNCpSa,Lenny B,lo-fi
3PplCjTWQ2AbTboXJNCpSa,Lenny B,lo-fi beats
1G6DQ6RTI8TuWA0jAUGBNl,Relaxstation,lo-fi
4WfXJIC30dh3ezNzAmVi3m,Mantrick,lo-fi
26zCMMaITBnpxUsoDnPMeR,Auxjack,lo-fi beats
26zCMMaITBnpxUsoDnPMeR,Auxjack,lo-fi
656fNsyi29ZFuxOc7cBdIs,Loafy Building,lo-fi
656fNsyi29ZFuxOc7cBdIs,Loafy Building,lo-fi hip hop
656fNsyi29ZFuxOc7cBdIs,Loafy Building,lo-fi beats
0guOtxDAwFFEGGCxrbW5KF,The Figs,christian pop
0guOtxDAwFFEGGCxrbW5KF,The Figs,christian
0guOtxDAwFFEGGCxrbW5KF,The Figs,christian folk
1fn6FXR6yXLb4tGu9bBn4G,Anson Tran,ambient jazz
2xOmrHsNNnSQQwav65tSwZ,Tate Jackson Trio,jazz
2b9qemp1Y8NuEbY4RMYHY1,Jazzy Coffee,jazz
2b9qemp1Y8NuEbY4RMYHY1,Jazzy Coffee,ambient jazz
