artist.genres,artist.id,artist.name,artist.popularity,artist.followers
[],0X2BH1fck6amBIoJhDVmmJ,Ellie Goulding,81,13464536
['dream pop'],1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,85,18317228
[],1NyxTiCivDmzgFWYD1V01m,Justin Caruso,47,57882
"['c-pop', 'gufeng', 'mandopop']",02VPWD8AZ7qSuug0dM4Hk1,Chris Lee Artiste,42,18719
['indie'],1gl0S9pS0Zw0qfa14rDD3D,Surf Curse,71,1849636
[],4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,80,12852780
[],1Eie0tY91rpi7Y0jtIOXzI,Wingtip,41,73878
[],5kLvMAFanr3jQ7iuciSCuM,Menna,25,6285
[],0Hz6D1XGiSH9nOPjUlDWrj,Rebelde la Serie,38,77473
[],54rVzcHo1due7E5CS2ycy6,Andrea Chaparro,36,6429
[],6jMp7XIWalRTUdSvbF05Xu,Jeronimo Cantillo,32,10621
[],1X0HaTcdkHW7LviblBiEeq,Rosa Walton,60,68515
[],5JNkPX6dYGLeEm4cUjHNGc,Hallie Coggins,60,10299
[],3pc0bOVB5whxmD50W79wwO,keshi,75,4322797
[],76eT9cKtQCDSVWCmlTMwNi,Goodluck Rylie,46,19575
[],1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,61,537252
[],6pBeJe1VuufnPUFm2KI1oS,Famy,52,65138
['rap'],137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,83,12304387
[],67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,81,2148742
[],6LmymAfsFtt2CaJSj9hdCn,Kayla DiVenere,29,9959
[],44BkC9lJfLmhcRB4NV7Z38,Tim Myers,28,7454
[],1XRfi9du6y2HfAOAlo8A1U,Zach Rogue,12,106
[],3bmlmoASHg6ycjrKV05CP2,Zach Seabaugh,48,102272
[],4lhUHpVOXmkEBGGHV71QCh,Chance Peña,71,618693
[],5zlnl1lFTTaETmaKci4V6j,John-Robert,37,39007
[],2vnB6tuQMaQpORiRdvXF9H,Beach Bunny,67,1912365
[],6p2HnfM955TI1bX34dkLnI,The Backseat Lovers,68,912200
['k-rap'],2fiGm496AG7ePURQiSSJIw,Paul Blanco,53,113140
['k-rap'],5NUVwRESNqYBUTRbiATjy7,BE'O,53,299414
[],7DxXCQhYeP9YYtxBCmIQcY,Alex Di Leo,17,4646
['pop punk'],6Y64EaNqpqcZYTgs4c76gF,jxdn,59,1018188
['pop punk'],4yP4eYthbuCNIcoQtqwj40,Games We Play,41,135897
[],2bWTIIQP9zaVc55RaMGu7e,Seori,56,339439
[],0kX41bvrBQtgqSEXbmTzMN,eaJ,56,277609
[],5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,74,5665052
"['hyperpop', 'glitch']",2anlj4dNUn9I1VxxmjRHRx,Numl6ck,38,24391
[],3vNisYibo8wFyD4wxIbSbn,will hyde,41,17901
[],6ZzYOQMKYTj2lJeAitjSl7,dempsey hope,35,52020
['underground hip hop'],3XlPXxJwM5utJ5D0PiBugV,whiterosemoxie,35,27674
[],1PDE2MIJ4M6uvFJDrslazf,Ryan Caraveo,54,311186
[],75ois9nn8xMuOgVk2oCN1C,New Rules,43,94935
[],1znowipTv2C0PgcaulHEA8,lael,23,30899
[],5sXPLn0XElTS3Aq0STgm4H,CaRter,27,25578
[],0p9SPN0Vhv6aDRZCz4W13E,JORDY,47,180817
[],5aHlyw2WWqZW0HLICBuv7U,Zach Hood,56,347320
[],3gIRvgZssIb9aiirIg0nI3,Jeremy Zucker,65,2377995
[],7okSU80WTrn4LXlyXYbX3P,Clinton Kane,59,942620
[],0IErJSgNHRD1DAH0X7yHvn,david hugo,42,86624
['reggaeton'],14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,79,5135135
['dembow'],4VVEpEhC8NcR7AqNEds42U,Chimbala,65,691662
