personID,"artists_name","artists_id"
15,"John Mayer","0hEurMDQu99nJRq8pTxO14"
15,"Led Zeppelin","36QJpDe2go2KgaRleHCDTp"
15,"Leon Bridges","3qnGvpP8Yth1AqSBMqON5x"
15,"Less Than Jake","20oQv3LStCKCjI9oQ0JNha"
15,"Little Simz","6eXZu6O7nAUA5z6vLV8NKI"
15,"Mat Kearney","2NQEwAVHBNcI0tGMLlWwF1"
15,"Matisyahu","5eyMzR1hYiEZtN2c9ly2kw"
15,"Matt and Kim","4MSMDY0ClgWqXApU53I1L1"
15,"Merle Haggard","2ptmyXoL7poH6Zq62h1QT9"
15,"Michal Menert","5JBNcYBpRMPc5oZO6a9MfD"
15,"Miley Cyrus","5YGY8feqx7naU7z4HrwZM6"
15,"Milky Chance","1hzfo8twXdOegF3xireCYs"
15,"Modest Mouse","1yAwtBaoHLEDWAnWR87hBT"
15,"Nappy Roots","3tCxM1rTj2qUXsiQZxvt2I"
15,"Nathaniel Rateliff & The Night Sweats","02seUFsFQP7TH4hLrTj77o"
15,"Nick Murphy","2Q0MyH5YMI5HPQjFjlq5g3"
15,"OK Go","3hozsZ9hqNq7CoBGYNlFTz"
15,"Papadosio","22nCgEikczPLtGfDdpRroh"
15,"Parrotfish","3sXsp1NdreMl6Pa5Lf20qz"
15,"Passion Pit","7gjAu1qr5C2grXeQFFOGeh"
15,"Pepper","1YK8JdPbiaMSnf4hrlBkGT"
15,"Porch Light","71gxkPYviG8kwEzEZGM1FH"
15,"Portugal. The Man","4kI8Ie27vjvonwaB2ePh8T"
15,"Quinn XCII","3ApUX1o6oSz321MMECyIYd"
15,"RJD2","1O3ZOjqFLEnbpZexcRjocn"
15,"Reel Big Fish","3bXhZFreBJF4QDUUiMmtZW"
15,"Ryan Bingham","31z9f9AyPawiq0qlBO1M3i"
15,"SiR","3QTDHixorJelOLxoxcjqGx"
15,"Simple Plan","2p4FqHnazRucYQHyDCdBrJ"
15,"Slightly Stoopid","6MxlVTY6PmY8Nyn16fvxtb"
15,"Spoon","0K1q0nXQ8is36PzOKAMbNe"
15,"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB"
15,"The All-American Rejects","3vAaWhdBR38Q02ohXqaNHT"
15,"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg"
15,"The Postal Service","5yV1qdnmxyIYiSFB02wpDj"
15,"The Wood Brothers","6FxuPrpa8phaP3Xn73emhT"
15,"Tipper","1soJ22UMyjIw6SYFtoFJwe"
15,"Trevor Hall","3RMHexittaAZkf8zukkZB8"
15,"Walk off the Earth","6jEiUoyyJNPHzSR0Nib6HX"
15,"Wookiefoot","4qD6ABoI7PKjZCdTYodIaH"
15,"Yellowcard","3zxKH0qp3nBCuPZCZT5Vaf"
15,"Yonder Mountain String Band","1ReHC2jB2DGoPbMYhzuFuO"
15,"Young the Giant","4j56EQDQu5XnL7R3E9iFJT"
15,"blink-182","6FBDaR13swtiWwGhX1WQsP"
