personID,"tracks_album","tracks_artist","tracks_track","tracks_id"
1,"This Wandering Day","Rachel Hardy","This Wandering Day","1r7fikr8oXHwsWrQCEjGPS"
1,"Back To Basics","Christina Aguilera","Candyman","5lUTzPuiloBHm1qEaJcJfF"
1,"IT GIRL (Fan Remix) (feat. Ve'ondre)","Aliyah's Interlude","IT GIRL (Fan Remix) (feat. Ve'ondre)","2HonL5dY8y40KNoj1lnWTq"
1,"My 21st Century Blues","RAYE","Oscar Winning Tears.","0iO2iCAjtX0t5duvczNQt6"
1,"Dreaming Lucid","Ambar Lucid","A letter to my younger self","2m1W73aJNII9wafWkDn8S0"
1,"Saturn","SZA","Saturn","1bjeWoagtHmUKputLVyDxQ"
1,"Abracadabra","Lady Gaga","Abracadabra","5ZLUm9eab8y3tqQ1OhQSHI"
1,"Prom Queen","Beach Bunny","Prom Queen","6MpCaSIOfqBqbMED4kXgNY"
1,"Takes Me Back Home","Wasia Project","Takes Me Back Home","5SBzve5oEsGhZSE8uZ8tjc"
1,"Eleanor Rigby","Cody Fry","Eleanor Rigby","5zLgBaZYXkVd81xVOmb7ub"
1,"Bewitched","Laufey","Serendipity","5yIuA6g8P4nwWGMzXfhX4a"
1,"B'Day Deluxe Edition","Beyoncé","Get Me Bodied - Extended Mix","3W1mdCYUHWewrVXnRsPntM"
1,"Planet Her","Doja Cat","Imagine","5CC5krEgwJXuoA0F9scOFg"
1,"the masquerade","mxmtoon","prom dress","2xCGBWfzTe8l2kvHpgvB6M"
1,"five seconds flat","Lizzy McAlpine","doomsday","4WjxtORnwPavm5PDsAWJEc"
1,"Sarah Vaughan","Sarah Vaughan","Lullaby Of Birdland","5z161QQZMgQxSILnv3QoJk"
1,"CRAZY","LE SSERAFIM","1-800-hot-n-fun","7vjfnsnDXZGK4PSq54ISjc"
1,"Bridge Over Troubled Water (feat. John Legend & Tori Kelly)","Jacob Collier","Bridge Over Troubled Water (feat. John Legend & Tori Kelly)","4FG5dNlurEtZ84kCTg5YLA"
1,"PRINCESS OF POWER","MARINA","PRINCESS OF POWER","4UIIN6YR7Def3ZYXbhJqFT"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","Naked In Manhattan","4LKYOetuIF5c9XjeLBL9av"
1,"Golden Child","Paravi","Golden Child","7GkVUzfruToUahCBk8GW0r"
1,"28 Reasons - The 1st Mini Album","SEULGI","Dead Man Runnin’","5eFGkCXi83auDi0bcDBEKD"
1,"The Visitors","ABBA","I Let The Music Speak","1TaDWN9kixXxE7eYx1Cctd"
1,"Wonderland (Original Broadway Cast Recording)","Kate Shindle","The Mad Hatter","7zxEfC00zelfRA4IPr4ZUs"
1,"AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","Beyoncé","AMERICA HAS A PROBLEM (feat. Kendrick Lamar)","6l8mgVN9Xf1hiDIFGA6CTE"
1,"CHROMAKOPIA","Tyler, The Creator","Balloon (feat. Doechii)","35D1RA5uVFVhMc1qX80TaQ"
1,"Spaceship Race","Kinneret","Spaceship Race!","2cyHcjLaQZhzFf1tZoc5Ok"
1,"Flower Boy","Tyler, The Creator","See You Again (feat. Kali Uchis)","7KA4W4McWYRpgf0fWsJZWB"
1,"Everybody Else Is Doing It, So Why Can't We?","The Cranberries","Linger","0gEyKnHvgkrkBM6fbeHdwK"
1,"Broke with Expensive Taste","Azealia Banks","Luxury","5BsGmbPJyupA70FlD7NtbS"
1,"I Dig The Duke, I Dig The Count","Mel Tormé","Don't Get Around Much Anymore","4Wcc1J2k6fT0Cj1zpKJhEQ"
1,"DMZ","Kinneret","No Wind Resistance!","78Vm1H6bT8WQyPNyx7HBhP"
1,"Everything To Everyone","Reneé Rapp","In The Kitchen","2VFetGqLYq0Pc8ZtRYCaeL"
1,"RENAISSANCE","Beyoncé","PLASTIC OFF THE SOFA","6ufcuVInt0ocHrUimDjGlb"
1,"Paramore","Paramore","Ain't It Fun","3yrvQHw6pQemsrCQEpMnKv"
1,"Lover Girl","Laufey","Silver Lining","2ildHtoSRhuPDhv2STlXiH"
1,"Conceited","Flo Milli","Conceited","02nTpchENdZ4Nm8AfTmrFv"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","After Midnight","4rlQza35DE4Prh5yonxnCs"
1,"RWBY, Vol. 8 (Music from the Rooster Teeth Series)","Jeff Williams","Be Strong and Hit Stuff","11utxTIgUfJaqpePfiVcdz"
1,"back from the dead","Lyn Lapid","back from the dead (with mxmtoon)","7H4G1mhD1qCCeYDPgZ5mgh"
1,"The Rise and Fall of a Midwest Princess","Chappell Roan","Femininomenon","53IRnAWx13PYmoVYtemUBS"
1,"Alter Ego (with JT)","Doechii","Alter Ego (with JT)","2xaaJcmvMOmpDbTwlWnjFh"
1,"ANTIFRAGILE","LE SSERAFIM","ANTIFRAGILE","4fsQ0K37TOXa3hEQfjEic1"
1,"Heat","Archana","Heat","3Ylp1AzwAGvJahOWQhbCje"
1,"recently","Liana Flores","rises the moon","51Grh1RyUDcMBbpuyUIUHI"
1,"dusk","mxmtoon","bon iver","2A6GfKINLJ2oN4sjUWj0g2"
1,"Touch","KATSEYE","Touch","6aJn7Cst74cj4lNIiPRgav"
